,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
505064,2020-03-31,Perry,Ohio,39127.0,1,0,127,Ohio,Perry,36134,2.7674766148226047,,
505065,2020-04-01,Perry,Ohio,39127.0,2,0,127,Ohio,Perry,36134,5.534953229645209,2.7674766148226047,
505066,2020-04-02,Perry,Ohio,39127.0,2,0,127,Ohio,Perry,36134,5.534953229645209,0.0,
505067,2020-04-03,Perry,Ohio,39127.0,2,0,127,Ohio,Perry,36134,5.534953229645209,0.0,
505068,2020-04-04,Perry,Ohio,39127.0,3,0,127,Ohio,Perry,36134,8.302429844467815,2.7674766148226055,
505069,2020-04-05,Perry,Ohio,39127.0,3,0,127,Ohio,Perry,36134,8.302429844467815,0.0,
505070,2020-04-06,Perry,Ohio,39127.0,4,0,127,Ohio,Perry,36134,11.069906459290419,2.7674766148226038,
505071,2020-04-07,Perry,Ohio,39127.0,4,0,127,Ohio,Perry,36134,11.069906459290419,0.0,
505072,2020-04-08,Perry,Ohio,39127.0,6,0,127,Ohio,Perry,36134,16.60485968893563,5.534953229645211,
505073,2020-04-09,Perry,Ohio,39127.0,6,0,127,Ohio,Perry,36134,16.60485968893563,0.0,
505074,2020-04-10,Perry,Ohio,39127.0,7,0,127,Ohio,Perry,36134,19.372336303758235,2.7674766148226055,
505075,2020-04-11,Perry,Ohio,39127.0,8,0,127,Ohio,Perry,36134,22.139812918580837,2.767476614822602,
505076,2020-04-12,Perry,Ohio,39127.0,8,0,127,Ohio,Perry,36134,22.139812918580837,0.0,
505077,2020-04-13,Perry,Ohio,39127.0,8,0,127,Ohio,Perry,36134,22.139812918580837,0.0,
505078,2020-04-14,Perry,Ohio,39127.0,8,0,127,Ohio,Perry,36134,22.139812918580837,0.0,1.3837383074113023
505079,2020-04-15,Perry,Ohio,39127.0,8,0,127,Ohio,Perry,36134,22.139812918580837,0.0,1.1860614063525448
505080,2020-04-16,Perry,Ohio,39127.0,8,0,127,Ohio,Perry,36134,22.139812918580837,0.0,1.1860614063525448
505081,2020-04-17,Perry,Ohio,39127.0,8,0,127,Ohio,Perry,36134,22.139812918580837,0.0,1.1860614063525448
505082,2020-04-18,Perry,Ohio,39127.0,9,0,127,Ohio,Perry,36134,24.907289533403443,2.7674766148226055,1.1860614063525448
505083,2020-04-19,Perry,Ohio,39127.0,9,0,127,Ohio,Perry,36134,24.907289533403443,0.0,1.1860614063525448
505084,2020-04-20,Perry,Ohio,39127.0,9,0,127,Ohio,Perry,36134,24.907289533403443,0.0,0.9883845052937873
505085,2020-04-21,Perry,Ohio,39127.0,10,0,127,Ohio,Perry,36134,27.67476614822605,2.7674766148226055,1.1860614063525448
