,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
62592,2020-03-12,Yakima,Washington,53077.0,2,0,77,Washington,Yakima,250873,0.7972161213044049,,,
62593,2020-03-13,Yakima,Washington,53077.0,2,0,77,Washington,Yakima,250873,0.7972161213044049,,0.0,
62594,2020-03-14,Yakima,Washington,53077.0,3,0,77,Washington,Yakima,250873,1.1958241819566076,,0.39860806065220267,
62595,2020-03-15,Yakima,Washington,53077.0,4,0,77,Washington,Yakima,250873,1.5944322426088098,,0.3986080606522022,
62596,2020-03-16,Yakima,Washington,53077.0,4,0,77,Washington,Yakima,250873,1.5944322426088098,,0.0,
62597,2020-03-17,Yakima,Washington,53077.0,5,0,77,Washington,Yakima,250873,1.9930403032610124,,0.39860806065220267,
62598,2020-03-18,Yakima,Washington,53077.0,9,0,77,Washington,Yakima,250873,3.5874725458698222,1.6513762512734103,1.5944322426088098,
62599,2020-03-19,Yakima,Washington,53077.0,9,0,77,Washington,Yakima,250873,3.5874725458698222,2.0499843119256127,0.0,0.3986080606522025
62600,2020-03-20,Yakima,Washington,53077.0,10,0,77,Washington,Yakima,250873,3.986080606522025,2.505536381242415,0.39860806065220267,0.45555206931680287
62601,2020-03-21,Yakima,Washington,53077.0,20,0,77,Washington,Yakima,250873,7.97216121304405,3.4735845285406213,3.986080606522025,0.968048147298206
62602,2020-03-22,Yakima,Washington,53077.0,24,0,77,Washington,Yakima,250873,9.56659345565286,4.612464701832629,1.5944322426088107,1.138880173292007
62603,2020-03-23,Yakima,Washington,53077.0,25,0,77,Washington,Yakima,250873,9.965201516305063,5.808288883789237,0.39860806065220267,1.1958241819566076
62604,2020-03-24,Yakima,Washington,53077.0,44,1,77,Washington,Yakima,250873,17.53875466869691,8.029105221708651,7.573553152391847,2.220816337919414
62605,2020-03-25,Yakima,Washington,53077.0,51,1,77,Washington,Yakima,250873,20.32901109326233,10.420753585621867,2.7902564245654204,2.3916483639132156
62606,2020-03-26,Yakima,Washington,53077.0,61,2,77,Washington,Yakima,250873,24.31509169978435,13.381842036181085,3.9860806065220196,2.961088450559218
62607,2020-03-27,Yakima,Washington,53077.0,72,2,77,Washington,Yakima,250873,28.699780366958578,16.91237057338631,4.384688667174228,3.530528537205222
62608,2020-03-28,Yakima,Washington,53077.0,100,2,77,Washington,Yakima,250873,39.86080606522025,21.46789126655434,11.161025698261675,4.555520693168029
62609,2020-03-29,Yakima,Washington,53077.0,147,3,77,Washington,Yakima,250873,58.595384915873765,28.472004332300184,18.734578850653513,7.004113065745844
62610,2020-03-30,Yakima,Washington,53077.0,147,3,77,Washington,Yakima,250873,58.595384915873765,35.419173389381434,0.0,6.947169057081244
62611,2020-03-31,Yakima,Washington,53077.0,147,3,77,Washington,Yakima,250873,58.595384915873765,41.28440628183527,0.0,5.865232892453838
62612,2020-04-01,Yakima,Washington,53077.0,200,3,77,Washington,Yakima,250873,79.7216121304405,49.769063572860716,21.12622721456674,8.484657291025455
62613,2020-04-02,Yakima,Washington,53077.0,216,6,77,Washington,Yakima,250873,86.09934110087575,58.595384915873765,6.377728970435243,8.826321343013058
62614,2020-04-03,Yakima,Washington,53077.0,289,7,77,Washington,Yakima,250873,115.19772952848653,70.95223479609204,29.098388427610786,12.35684988021828
62615,2020-04-04,Yakima,Washington,53077.0,289,7,77,Washington,Yakima,250873,115.19772952848653,81.71465243370152,0.0,10.76241763760947
62616,2020-04-05,Yakima,Washington,53077.0,363,12,77,Washington,Yakima,250873,144.6947260167495,94.01455830525519,29.49699648826298,12.29990587155368
62617,2020-04-06,Yakima,Washington,53077.0,380,12,77,Washington,Yakima,250873,151.47106304783694,107.28251232410709,6.776337031087422,13.267954018851883
62618,2020-04-07,Yakima,Washington,53077.0,400,17,77,Washington,Yakima,250873,159.443224260881,121.68934651625099,7.972161213044075,14.406834192143894
62619,2020-04-08,Yakima,Washington,53077.0,400,18,77,Washington,Yakima,250873,159.443224260881,133.07814824917108,0.0,11.388801732920074
62620,2020-04-09,Yakima,Washington,53077.0,447,19,77,Washington,Yakima,250873,178.17780311153453,146.23221425069374,18.73457885065352,13.154066001522684
62621,2020-04-10,Yakima,Washington,53077.0,447,19,77,Washington,Yakima,250873,178.17780311153453,155.22936761970064,0.0,8.997153369006858
62622,2020-04-11,Yakima,Washington,53077.0,535,21,77,Washington,Yakima,250873,213.25531244892835,169.23759375119235,35.07750933739382,14.008226131491691
62623,2020-04-12,Yakima,Washington,53077.0,535,21,77,Washington,Yakima,250873,213.25531244892835,179.03196324150363,0.0,9.794369490311265
62624,2020-04-13,Yakima,Washington,53077.0,573,23,77,Washington,Yakima,250873,228.40241875371203,190.0221569137715,15.147106304783676,10.990193672267873
62625,2020-04-14,Yakima,Washington,53077.0,635,29,77,Washington,Yakima,250873,253.1161185141486,203.4039989499526,24.713699760436583,13.381842036181087
62626,2020-04-15,Yakima,Washington,53077.0,674,29,77,Washington,Yakima,250873,268.6618328795845,219.00665732405312,15.545714365435884,15.6026583741005
62627,2020-04-16,Yakima,Washington,53077.0,707,29,77,Washington,Yakima,250873,281.8158988811072,233.81209957684922,13.154066001522722,14.8054422527961
62628,2020-04-17,Yakima,Washington,53077.0,759,34,77,Washington,Yakima,250873,302.5435180350217,251.57863028020452,20.727619153914475,17.76653070335531
62629,2020-04-18,Yakima,Washington,53077.0,759,35,77,Washington,Yakima,250873,302.5435180350217,264.334088221075,0.0,12.75545794087048
62630,2020-04-19,Yakima,Washington,53077.0,771,36,77,Washington,Yakima,250873,307.32681476284813,277.7728742659207,4.783296727826439,13.438786044845685
62631,2020-04-20,Yakima,Washington,53077.0,868,38,77,Washington,Yakima,250873,345.99179664611177,294.57135682197776,38.664981883263636,16.798482556057106
62632,2020-04-21,Yakima,Washington,53077.0,868,38,77,Washington,Yakima,250873,345.99179664611177,307.8393108408296,0.0,13.26795401885188
62633,2020-04-22,Yakima,Washington,53077.0,868,38,77,Washington,Yakima,250873,345.99179664611177,318.88644852176213,0.0,11.047137680932467
62634,2020-04-23,Yakima,Washington,53077.0,952,42,77,Washington,Yakima,250873,379.4748737408968,332.83773064458916,33.48307709478502,13.951282122827081
62635,2020-04-24,Yakima,Washington,53077.0,952,43,77,Washington,Yakima,250873,379.4748737408968,343.82792431685704,0.0,10.99019367226787
62636,2020-04-25,Yakima,Washington,53077.0,1066,44,77,Washington,Yakima,250873,424.9161926552478,361.3097349768893,45.44131891435103,17.481810660032302
62637,2020-04-26,Yakima,Washington,53077.0,1085,45,77,Washington,Yakima,250873,432.48974580763974,379.1901536975738,7.5735531523919235,17.880418720684514
62638,2020-04-27,Yakima,Washington,53077.0,1085,45,77,Washington,Yakima,250873,432.48974580763974,391.5470035777921,0.0,12.356849880218281
62639,2020-04-28,Yakima,Washington,53077.0,1135,48,77,Washington,Yakima,250873,452.42014884024985,406.7510538912405,19.930403032610116,15.204050313448297
62640,2020-04-29,Yakima,Washington,53077.0,1197,48,77,Washington,Yakima,250873,477.1338486006864,425.48563274189394,24.713699760436555,18.73457885065352
62641,2020-04-30,Yakima,Washington,53077.0,1237,49,77,Washington,Yakima,250873,493.0781710267745,441.71467521130506,15.944322426088092,16.2290424694111
62642,2020-05-01,Yakima,Washington,53077.0,1293,48,77,Washington,Yakima,250873,515.4002224232978,461.1325821659338,22.322051396523307,19.417906954628716
62643,2020-05-02,Yakima,Washington,53077.0,1293,48,77,Washington,Yakima,250873,515.4002224232978,474.05887213279806,0.0,12.926289966864285
62644,2020-05-03,Yakima,Washington,53077.0,1411,48,77,Washington,Yakima,250873,562.4359735802577,492.62261895745775,47.03575115695992,18.563746824659713
62645,2020-05-04,Yakima,Washington,53077.0,1411,48,77,Washington,Yakima,250873,562.4359735802577,511.18636578211743,0.0,18.563746824659713
62646,2020-05-05,Yakima,Washington,53077.0,1440,49,77,Washington,Yakima,250873,573.9956073391717,528.5542884248205,11.559633758913947,17.367922642703117
