,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
564583,2020-04-06,Clay,Arkansas,5021.0,1,0,21,Arkansas,Clay,14551,6.872379905161158,,,
564584,2020-04-07,Clay,Arkansas,5021.0,1,0,21,Arkansas,Clay,14551,6.872379905161158,,0.0,
564585,2020-04-08,Clay,Arkansas,5021.0,1,0,21,Arkansas,Clay,14551,6.872379905161158,,0.0,
564586,2020-04-09,Clay,Arkansas,5021.0,1,0,21,Arkansas,Clay,14551,6.872379905161158,,0.0,
564587,2020-04-10,Clay,Arkansas,5021.0,1,0,21,Arkansas,Clay,14551,6.872379905161158,,0.0,
564588,2020-04-11,Clay,Arkansas,5021.0,1,0,21,Arkansas,Clay,14551,6.872379905161158,,0.0,
564589,2020-04-12,Clay,Arkansas,5021.0,1,0,21,Arkansas,Clay,14551,6.872379905161158,6.872379905161159,0.0,
564590,2020-04-13,Clay,Arkansas,5021.0,1,0,21,Arkansas,Clay,14551,6.872379905161158,6.872379905161159,0.0,0.0
564591,2020-04-14,Clay,Arkansas,5021.0,1,0,21,Arkansas,Clay,14551,6.872379905161158,6.872379905161159,0.0,0.0
564592,2020-04-15,Clay,Arkansas,5021.0,1,0,21,Arkansas,Clay,14551,6.872379905161158,6.872379905161159,0.0,0.0
564593,2020-04-16,Clay,Arkansas,5021.0,1,0,21,Arkansas,Clay,14551,6.872379905161158,6.872379905161159,0.0,0.0
564594,2020-04-17,Clay,Arkansas,5021.0,1,0,21,Arkansas,Clay,14551,6.872379905161158,6.872379905161159,0.0,0.0
564595,2020-04-18,Clay,Arkansas,5021.0,1,0,21,Arkansas,Clay,14551,6.872379905161158,6.872379905161159,0.0,0.0
564596,2020-04-19,Clay,Arkansas,5021.0,1,0,21,Arkansas,Clay,14551,6.872379905161158,6.872379905161159,0.0,0.0
564597,2020-04-20,Clay,Arkansas,5021.0,1,0,21,Arkansas,Clay,14551,6.872379905161158,6.872379905161159,0.0,0.0
564598,2020-04-21,Clay,Arkansas,5021.0,1,0,21,Arkansas,Clay,14551,6.872379905161158,6.872379905161159,0.0,0.0
564599,2020-04-22,Clay,Arkansas,5021.0,1,0,21,Arkansas,Clay,14551,6.872379905161158,6.872379905161159,0.0,0.0
564600,2020-04-23,Clay,Arkansas,5021.0,1,0,21,Arkansas,Clay,14551,6.872379905161158,6.872379905161159,0.0,0.0
564601,2020-04-24,Clay,Arkansas,5021.0,1,0,21,Arkansas,Clay,14551,6.872379905161158,6.872379905161159,0.0,0.0
564602,2020-04-25,Clay,Arkansas,5021.0,2,0,21,Arkansas,Clay,14551,13.744759810322316,7.854148463041324,6.872379905161158,0.9817685578801655
564603,2020-04-26,Clay,Arkansas,5021.0,2,0,21,Arkansas,Clay,14551,13.744759810322316,8.835917020921489,0.0,0.9817685578801655
564604,2020-04-27,Clay,Arkansas,5021.0,2,0,21,Arkansas,Clay,14551,13.744759810322316,9.817685578801655,0.0,0.9817685578801655
564605,2020-04-28,Clay,Arkansas,5021.0,3,0,21,Arkansas,Clay,14551,20.61713971548347,11.781222694561986,6.872379905161155,1.9635371157603305
564606,2020-04-29,Clay,Arkansas,5021.0,3,0,21,Arkansas,Clay,14551,20.61713971548347,13.744759810322318,0.0,1.9635371157603305
564607,2020-04-30,Clay,Arkansas,5021.0,3,0,21,Arkansas,Clay,14551,20.61713971548347,15.70829692608265,0.0,1.9635371157603305
564608,2020-05-01,Clay,Arkansas,5021.0,3,0,21,Arkansas,Clay,14551,20.61713971548347,17.671834041842978,0.0,1.9635371157603305
564609,2020-05-02,Clay,Arkansas,5021.0,3,0,21,Arkansas,Clay,14551,20.61713971548347,18.653602599723143,0.0,0.9817685578801651
564610,2020-05-03,Clay,Arkansas,5021.0,3,0,21,Arkansas,Clay,14551,20.61713971548347,19.63537115760331,0.0,0.9817685578801651
564611,2020-05-04,Clay,Arkansas,5021.0,3,0,21,Arkansas,Clay,14551,20.61713971548347,20.61713971548347,0.0,0.9817685578801651
564612,2020-05-05,Clay,Arkansas,5021.0,3,0,21,Arkansas,Clay,14551,20.61713971548347,20.61713971548347,0.0,1.2688263138573217e-16
564613,2020-05-06,Clay,Arkansas,5021.0,3,0,21,Arkansas,Clay,14551,20.61713971548347,20.61713971548347,0.0,1.2688263138573217e-16
564614,2020-05-07,Clay,Arkansas,5021.0,3,0,21,Arkansas,Clay,14551,20.61713971548347,20.61713971548347,0.0,1.2688263138573217e-16
564615,2020-05-08,Clay,Arkansas,5021.0,3,0,21,Arkansas,Clay,14551,20.61713971548347,20.61713971548347,0.0,1.2688263138573217e-16
564616,2020-05-09,Clay,Arkansas,5021.0,3,0,21,Arkansas,Clay,14551,20.61713971548347,20.61713971548347,0.0,1.2688263138573217e-16
564617,2020-05-10,Clay,Arkansas,5021.0,3,0,21,Arkansas,Clay,14551,20.61713971548347,20.61713971548347,0.0,1.2688263138573217e-16
